Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,Municipi,CP,ABS,Telèfon
F08000025,CANAL CALVERAS. MARTA,CR,SANT JORDI,11,PUIG-REIG,08692,128 BAIX BERGUEDÀ,938290385
F08000032,ABRIL GARCIA. MARIA,RI,BISBE POL,72,ARENYS DE MAR,08350,9 ARENYS DE MAR,937923301
F08000040,RIGOLA GARROFE. DOLÇA,PL,ESGLESIA,3,ARENYS DE MAR,08350,9 ARENYS DE MAR,937920237
F08000057,MIAS NAVARRO. MIREIA,RB,SANT MARTI,56,ARENYS DE MUNT,08358,9 ARENYS DE MAR,937938201
F08000064,GUILLEN VIDAL. M NURIA,CR,GRAN,22,ARGENTONA,08310,10 ARGENTONA,937971262
F08000071,BOIXAREU CARRERA.M.ANGELS,CR,ROCAFORT,26,ARTÉS,08271,11 ARTÉS,938305265
F08000089,MIMO CALLIS. LLUIS,CT,RIBES,31,AIGUAFREDA,08591,121 LA GARRIGA,938440809
F08000096,JOFRESA PRATS. E/PORTILLO SAAVEDRA. P,CR,PRIM,156,BADALONA,08911,273 BADALONA 2,933840455
F08000106,TALLADA DOMINGO. MARIA,CR,CANONGE BARANERA,60,BADALONA,08911,273 BADALONA 2,933840453
F08000113,AGUILAR CALVO. ADELA,CR,FRANCESC LAYRET,83,BADALONA,08911,273 BADALONA 2,933895208
F08000120,SALLA CLAROS. JOSEPA,AV,MARQUES DE SANT MORI,16 bis,BADALONA,08913,277 BADALONA 6,933887301
F08000138,FAURA CARRERA. AINA,AV,ALFONS XIII,256,BADALONA,08914,342 BADALONA 7B,933870343
F08000145,BOSCASA SANCHEZ-PASCUALA. EVA,AV,ALFONS XIII,615,BADALONA,08918,276 BADALONA 5,933873194
F08000152,PRAT MARTORI. ELOI,PL,PEP VENTURA,11,BADALONA,08912,274 BADALONA 3,933872193
F08000160,PRAT MARTORI. ANNA,CR,FRANCESC MACIA,94-96,BADALONA,08912,274 BADALONA 3,933870647
F08000177,BERNAT BARRIGA. M.MONTSERRAT,CR,CONQUESTA,53,BADALONA,08912,274 BADALONA 3,933842906
F08000184,VALERO BARLABE. FRANCESC X.,CR,GUIFRE,184,BADALONA,08912,274 BADALONA 3,933830657
F08000191,GARCIA-VELA GRACE. MARTA,AV,PIUS XII,1-7,BADALONA,08913,277 BADALONA 6,933876154
F08000201,SEGARRA DOLSET. SILVIA,AV,ALFONS  XIII,555,BADALONA,08918,276 BADALONA 5,933872749
F08000219,SERENTILL TOST. SALVADOR,CR,MAR,23,BADALONA,08911,273 BADALONA 2,933841233
F08000226,TORRAS SURROCA. SARA M,CR,MAR,76,BADALONA,08911,273 BADALONA 2,933845614
F08000233,FERRÉ CLAPÉS. MARC,AV,MARTI PUJOL,133,BADALONA,08912,273 BADALONA 2,933844806
F08000240,IGLESIAS MANERO. MARC,CT,BERGA,2,BALSARENY,08660,167 NAVÀS/BALSARENY,938396121
F08000258,COSP BOIXADER. MARIA,PS,DE LA PAU,55,BERGA,08600,82 BERGA,938210125
F08000265,VILA CALONGE MA. CRISTINA,CR,CIUTAT,41,BERGA,08600,82 BERGA,938210518
F08000272,SAZ CARAZO. NEUS,AV,DEL CANAL INDUSTRIAL,14-18,BERGA,08600,82 BERGA,938210135
F08000280,ALVAREZ DE LA CAMPA FAYOS.ALVAR,CR,GRAN VIA,28,BERGA,08600,82 BERGA,938210402
F08000297,FONT SABALA. MERITXELL,PS,SANTA CALAMANDA,7,CALAF,08280,88 CALAF,938698506
F08000307,PUIGORIOL MAS. ISABEL,CR,FORN,7,CALDES DE MONTBUI,08140,89 CALDES DE MONTBUI,938650097
F08000314,TIBAU MAYNOU.RAFEL,AV,PI I MARGALL,36-38,CALDES DE MONTBUI,08140,89 CALDES DE MONTBUI,938650146
F08000321,AREALES VERA. CESAREO,CR,LA RIERA,20,CALDES D'ESTRAC,08393,335 SANT ANDREU DE LLAVANERES,937912732
F08000353,NOE NADAL. AGUSTI,CR,ESGLESIA,116,CALELLA,08370,90 CALELLA,937690791
F08000360,MARTINEZ ALVAREZ. EMILIO,RI,GAVARRA,23,CANET DE MAR,08360,93 CANET DE MAR,937940045
F08000378,CODINA SABATER. MARTA,PL,VERDAGUER,3,CAPELLADES,08786,337 CAPELLADES,938010082
F08000385,AUQUE REGAÑO. BERNAT,CR,SANT ANTONI,11,CARDEDEU,08440,95 CARDEDEU,938461071
F08000392,FORES JOVER. MARIA CINTA,CR,DIAGONAL FIVALLER,8,CARDEDEU,08440,95 CARDEDEU,938461169
F08000402,BERNADÍ GUITART. ELENA,CR,DEL CAMBRAS,5,CARDONA,08261,96 CARDONA,938691165
F08000427,SALA ARNAU. MARIA,PL,MERCAT,1,CARDONA,08261,96 CARDONA,938691049
F08000434,RODRIGUEZ YANGÜELA. TANIA,CR,TORRAS,2,CASTELLAR DEL VALLÈS,08211,97 CASTELLAR DEL VALLÈS,937145289
F08000441,ROS CASANOVAS. ROSALINA,AV,SANT ESTEVE,3,CASTELLAR DEL VALLÈS,08211,97 CASTELLAR DEL VALLÈS,937145233
F08000459,ESCUDERO MARTINEZ. PASCUAL/ESCUDERO PORTERA.MONICA,PL,ESGLESIA,8,CASTELLBISBAL,08755,310 RUBÍ 2,937720134
F08000466,CARRION RIBAS. JOAN ANTON,CR,DE MIG,1,CASTELLTERÇOL,08183,159 MOIÀ,938668033
F08000473,GUILLERMO MARTINEZ. ANTONIO,AV,CATALUNYA,4B,CASTELLBELL I EL VILAR,08296,98 MONTSERRAT,938282179
F08000480,FELIU TORRENT. IMMACULADA,CR,SOCOS,2,CENTELLES,08540,102 CENTELLES,938810182
F08000498,BARNOLAS PUIGBO. MARIA PILAR,CR,NOU,7,CENTELLES,08540,102 CENTELLES,938810985
F08000508,COPETE PERALTA`. JAVIER/QUERO GUERRERO. M.CARMEN,CR,RAMON I CAJAL,2-4,CORNELLÀ DE LLOBREGAT,08940,108 CORNELLÀ DE LLOBREGAT 1,934744572
F08000515,GELABERT CAMPRUBI. RAMON,CR,RUBIO i ORS,128,CORNELLÀ DE LLOBREGAT,08940,108 CORNELLÀ DE LLOBREGAT 1,933770011
F08000522,LOPEZ-YBARRA FLORES. ROCIO,PL,AJUNTAMENT,14,ESPARREGUERA,08292,115 ESPARRAGUERA,937771144
F08000530,FLORENSA BERENGUER. MIREIA,CR,GRAN,33,ESPARREGUERA,08292,115 ESPARRAGUERA,937771189
F08000547,SANS BALLESTER. SILVIA,CR,ANGEL GUIMERA,130,ESPLUGUES DE LLOBREGAT,08950,117 ESPLUGUES DE LLOBREGAT 2,933710393
F08000554,JENE BORRAS. FRANCESC,CR,ANGEL GUIMERA,9,ESPLUGUES DE LLOBREGAT,08950,117 ESPLUGUES DE LLOBREGAT 2,933718877
F08000579,COMAPOSADA BERINGUES. JOSEFINA,CR,CENTRE,29,LA GARRIGA,08530,121 LA GARRIGA,938718314
F08000586,SUÑOL GENIS. MARTI,CR,CENTRE,10,LA GARRIGA,08530,121 LA GARRIGA,938714686
F08000593,MUÑOZ MENDEZ. DANIEL,RB,JOAQUIM VAYREDA,24,GAVÀ,08850,123 GAVÀ 2,936620388
F08000603,RIVERO MORENO. BEATRIZ,AV,DIAGONAL,7,GAVÀ,08850,123 GAVÀ 2,936620144
F08000610,RIBAL BARRERA. MARIA EVA,CR,MAJOR,8,GELIDA,08790,360 MARTORELL RURAL,937790003
F08000628,SERRA MORELL. CORA,AV,CATALUNYA,30,GIRONELLA,08680,128 BAIX BERGUEDÀ,938250082
F08000635,GUIXE SIMON. XAVIER,AV,CATALUNYA,53,GIRONELLA,08680,128 BAIX BERGUEDÀ,938250177
F08000642,ARIMANY BARCELO. MARINA,PL,JOSEP MALUQUER i SALVADOR,11,GRANOLLERS,08401,286 GRANOLLERS 3 - CENTRE EST,938794029
F08000650,GARCIA MARTINEZ. MARIA JOSE/BUSQUETS FEBRER. JOSEP,CR,ANSELM CLAVE,31,GRANOLLERS,08402,286 GRANOLLERS 3 - CENTRE EST,938700259
F08000667,VIÑAMATA NEBOT. ISABEL,CR,MUSEU,20-22,GRANOLLERS,08401,286 GRANOLLERS 3 - CENTRE EST,938794018
F08000674,PARERA BONANY. MARIA,PL,DE L'OLI,3,GRANOLLERS,08401,286 GRANOLLERS 3 - CENTRE EST,938700038
F08000681,BRETCHA FORNS. Ma. MARTA,CR,JOAN PRIM,29,GRANOLLERS,08401,286 GRANOLLERS 3 - CENTRE EST,938403900
F08000699,VILADES FREIXA. JOSEP,CT,RIBES,1,GUARDIOLA DE BERGUEDÀ,08694,130 ALT BERGUEDÀ,938240006
F08000709,BERTRAN GOMEZ. MONTSERRAT/CAMACHO PELAEZ. SARA,CR,PROGRES,85,L'HOSPITALET DE LLOBREGAT,08904,290 L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,932495169
F08000716,HUGUET HIGUERAS. LLUIS,CT,COLLBLANC,50,L'HOSPITALET DE LLOBREGAT,08903,290 L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,932490064
F08000723,PUJADAS SARET.A/PUJADAS PIULACHS.A/PUJADAS PIULACHS.X,CR,LLOBREGAT,136,L'HOSPITALET DE LLOBREGAT,08904,291 L'HOSPITALET DE LLOBREGAT 4 TORRASSA,934495136
F08000730,HUGUET TERMES. MARIA TERESA,CR,MAJOR,34,L'HOSPITALET DE LLOBREGAT,08901,288 L'HOSPITALET DE LLOBREGAT 1 - CENTRE,933370637
F08000748,ALAMOS LOPEZ. PILAR,CR,DEL DOCTOR MARTI I JULIA,177,L'HOSPITALET DE LLOBREGAT,08903,291 L'HOSPITALET DE LLOBREGAT 4 TORRASSA,934313391
F08000755,BOHERA MORALES. CARLES/BATLLORI MORALES. MONICA,CR,DR.MARTI JULIA,63,L'HOSPITALET DE LLOBREGAT,08903,290 L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,934497264
F08000762,DASCA DE MOXO. M TERESA,RB,MARINA,441,L'HOSPITALET DE LLOBREGAT,08901,288 L'HOSPITALET DE LLOBREGAT 1 - CENTRE,933370072
F08000770,ROSSELLÓ DASCA. FIDEL,CR,MAJOR,19,L'HOSPITALET DE LLOBREGAT,08901,288 L'HOSPITALET DE LLOBREGAT 1 - CENTRE,931561831
F08000787,DE OLEZA RONCAL. M. PILAR,CR,APRESTADORA,80,L'HOSPITALET DE LLOBREGAT,08902,293 L'HOSPITALET DE LLOBREGAT 6-S.EULÀLIA S.,934326643
F08000794,DE GABRIEL BLASCO. CARLES,CR,PUJOS,49,L'HOSPITALET DE LLOBREGAT,08904,290 L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,932494923
F08000804,PUIG ROMEU. JOSEP MA.,CR,PROGRES,39,L'HOSPITALET DE LLOBREGAT,08904,290 L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,932493246
F08000811,BALSELLS TURMO.ELIA/BALSELLS TURMO.MARTA,CR,SANTA EULALIA,97,L'HOSPITALET DE LLOBREGAT,08902,292 L'HOSPITALET DE LLOBREGAT 5-S.EULÀLIA N.,933315698
F08000829,MORENO MURILLO. RAQUEL,CR,ENRIC PRAT DE LA RIBA,161,L'HOSPITALET DE LLOBREGAT,08901,289 L'HOSPITALET DE LLOBREGAT 2 -S.JOSEP,933372556
F08000836,MISERACHS SOLA. ANNA,RB,NOVA,1,IGUALADA,08700,371 IGUALADA-1,938030598
F08000843,BAUSILI LOPEZ-SAEZ. JUAN BOSCO,CR,BORN,9,IGUALADA,08700,371 IGUALADA-1,938031933
F08000850,GODO SOLER. JOSEP M./ GODÓ CLARAMUNT. JENNY,PL,CREU,7,IGUALADA,08700,371 IGUALADA-1,938031488
F08000868,SINGLA BARCELO. RAMON,AV,MESTRE MONTANER,23-26,IGUALADA,08700,372 IGUALADA-2,938050479
F08000875,TORELLO ENRICH. JORDI,PS,MOSSEN JACINT VERDAGUER,82,IGUALADA,08700,371 IGUALADA-1,938031873
F08000890,PERICH TOMAS. FRANCESC,CR,SANTIAGO RUSIÑOL,31-33,LLINARS DEL VALLÈS,08450,376 ALT MOGENT,938410094
F08000900,BUÑOL TORDERA. PERE,CR,MAR,80,MALGRAT DE MAR,08380,143 MALGRAT DE MAR,937654021
F08000917,VILADEVALL MASENS.S/VILADEVALL GARRIGA.N,CR,CARME,28,MALGRAT DE MAR,08380,143 MALGRAT DE MAR,937610146
F08000924,FERRER CHAMBO.V./FERRER CHAMBO.T.,PL,FRA BERNADI,18,MANLLEU,08560,144 MANLLEU,938510240
F08000931,AUTET GUBIERAS. ASSUMPTA,CR,DE LA FONT,15,MANLLEU,08560,144 MANLLEU,938511034
F08000949,ESPONA GRIFOL.MONTSERRAT,PS,SANT JOAN,115,MANLLEU,08560,144 MANLLEU,938507203
F08000956,TALAVERON PLANAS. CRISTOFOL,CR,ANGEL GUIMERA,23,MANRESA,08241,146 MANRESA 2,938721505
F08000963,COMAS  RIU. MA.TERESA,PL,JOSEP ANSELM CLAVÉ,1,MANRESA,08241,145 MANRESA 1,938721323
F08000970,PAVIA PARDO. JAVIER,CT,CARDONA,19,MANRESA,08241,145 MANRESA 1,938725517
F08000995,BONSFILLS PONT. JOANA,CR,BALMES,41,MANRESA,08242,147 MANRESA 3,938730133
F08001004,OLTRA ROVIRA. M.ASSUMPTA,CR,MURALLA DEL CARME,16,MANRESA,08241,145 MANRESA 1,938722771
F08001011,ESTEVE CRUELLA. ANTONI,PL,PLANA DE L'OM,4,MANRESA,08241,145 MANRESA 1,938720509
F08001029,SOLÉ PASCUAL. ANNA.,PL,MAJOR,12,MANRESA,08241,145 MANRESA 1,938723742
F08001036,ANGUERA FARRAN. TERESA/CUCURULL MATEU. CRISTINA,PS,PERE III,1,MANRESA,08242,146 MANRESA 2,938721715
F08001043,GRAU VILALTA. LAIA,CT,VIC,59,MANRESA,08241,145 MANRESA 1,938772987
F08001050,ALIER CARRION. TERESA,PL,INFANTS,2,MANRESA,08241,145 MANRESA 1,938721984
F08001068,COMAS RIU. RICARD,CR,BORN,30,MANRESA,08241,145 MANRESA 1,938721359
F08001075,SALA AUVI. M.ANGELS,CR,SANT MIQUEL,10,MANRESA,08241,145 MANRESA 1,938721767
F08001082,ARROYO SAINZ. ROSA MARIA,PL,SANT IGNASI,13,MANRESA,08241,148 MANRESA 4,938721389
F08001090,TRAPE PUJOL. JOSEP,CR,SOBRERROCA,40,MANRESA,08241,145 MANRESA 1,938722180
F08001100,ROVIRA BERGER. LAIA,CR,PAU CLARIS,3,MARTORELL,08760,149 MARTORELL,937750239
F08001117,MASSANEDA ROVIRA. JOAQUIM,PL,MESTRE VICENÇ RODRIGUEZ,1,MARTORELL,08760,149 MARTORELL,937751897
F08001124,CARDONA TRULLAS. M. JOSEP,PS,PRAT DE LA RIBA,23,EL MASNOU,08320,362 OCATA-TEIÀ,935550403
F08001131,RIERA SERRAT. EMILI,CR,JOSEP LLIMONA,22,EL MASNOU,08320,361 EL MASNOU-ALELLA,935550855
F08001149,JIMENEZ TORT. SÍLVIA,CR,MAJOR,1,MASQUEFA,08783,360 MARTORELL RURAL,937725301
F08001156,PLANA BORRAS. JULIANA,PL,CUBA,4,MATARÓ,08302,152 MATARÓ 1,937985550
F08001163,DE LA PEÑA VILLALAIN ROSA M,CR,RAMBLA,16,MATARÓ,08302,152 MATARÓ 1,937902024
F08001170,COLL FABRES. ENRIC,CR,SANT JOSEP,30,MATARÓ,08302,152 MATARÓ 1,937904340
F08001188,MONTANER PICART. MONTSERRAT,CR,LA RIERA,57,MATARÓ,08302,152 MATARÓ 1,937901030
F08001195,ROCA ALBERO. M. PILAR,CR,NOU,1-3,MATARÓ,08301,153 MATARÓ 2,937901957
F08001205,COLL PAGES. TERESA/DEL RIO DURAN. RAQUEL,CR,SANT CRISTOFOR,1,MATARÓ,08301,153 MATARÓ 2,937960908
F08001212,SPA CARVAJAL. RAMON,PL,SANTA MARIA,3,MATARÓ,08301,153 MATARÓ 2,937901043
F08001220,VILARDELL GARRIGA. A.L.,AV,PUIG I CADAFALCH,256,MATARÓ,08303,156 MATARÓ 5,937982550
F08001237,XUCLA GODIA. MARIANO.,CR,MAJOR,100,MOLINS DE REI,08750,160 MOLINS DE REI,936681994
F08001244,ROCA BRUNET. JUDIT.,CR,MAJOR,31,MOLINS DE REI,08750,160 MOLINS DE REI,936684949
F08001251,BERMUDEZ MUIÑO. SUSANA,PS,DE PI I MARGALL,11,MOLINS DE REI,08750,160 MOLINS DE REI,936681429
F08001269,ROVIROSA OLIVE. SALVADOR,CR,BERENGUER III,64,MOLLET DEL VALLÈS,08100,348 MOLLET DEL VALLÈS-EST,935930095
F08001276,AMADO DEL PINO. MARGARIDA,PL,PRAT DE LA RIBA,17,MOLLET DEL VALLÈS,08100,348 MOLLET DEL VALLÈS-EST,935930161
F08001283,RAMON TUGAS. MONTSERRAT,PL,CATALUNYA,1,MOLLET DEL VALLÈS,08100,348 MOLLET DEL VALLÈS-EST,935930099
F08001290,RELAT ROCA. JOSEP/RELAT PARDO. JOANA,CR,MAJOR,89,MONTCADA I REIXAC,08110,302 MONTCADA I REIXAC,935641481
F08001300,GUIX MESTRES. MONTSERRAT,CR,MAJOR,25,MONTCADA I REIXAC,08110,302 MONTCADA I REIXAC,935641645
F08001318,VILA NIETO ISABEL.,CR,JAUME I,26,MONTCADA I REIXAC,08110,302 MONTCADA I REIXAC,935643315
F08001325,CIRICI GASCH. MANUEL,CR,SANT JORDI,10,MONTGAT,08390,319 MONTGAT,934691187
F08001332,RUYRA PAGÈS. PERE.,CR,PONT,31,MONISTROL DE MONTSERRAT,08691,98 MONTSERRAT,938350129
F08001340,RUIZ PLANAS. MONTSERRAT/RAFOLS RUIZ. ELENA,AV,CATALUNYA,66,SANTA MARGARIDA I ELS MONJOS,08730,176 PENEDÈS RURAL,938980002
F08001357,ADRADOS DE MIGUEL.MA.CANDELA,AV,DE LA VILA,18,MOIÀ,08180,159 MOIÀ,938300417
F08001364,ROSADO CONEJO. LAIA,CR,FORTIA SOLA,9,NAVARCLES,08270,211 NAVARCLES - SANT FRUITÓS DE BAGES,938310033
F08001371,RIERA MARISTANY. MARTI,CT,DE BERGA,59,NAVÀS,08670,167 NAVÀS/BALSARENY,938390173
F08001389,FLORENSA BERENGUER. ANNA M.,CR,JOSEP ANSELM CLAVE,114,OLESA DE MONTSERRAT,08640,168 OLESA DE MONTSERRAT,937780186
F08001406,REIXACH MORERA. M.ASSUMPTA,CR,MAJOR,44,SANTA MARIA DE PALAUTORDERA,08460,207 SANT CELONI,938480030
F08001413,HUGUET PLANES. ARACELI,CR,PRAT DE LA RIBA,26,PALLEJÀ,08780,367 PALLEJÀ,936683559
F08001420,BARJA GONZALEZ. M ISABEL,CR,RAVAL,26,PARETS DEL VALLÈS,08150,175 PARETS DEL VALLÈS,935737512
F08001438,RECASENS ISART. MIQUEL,CR,SANT CRISTOFOL,3,PIERA,08784,338 PIERA,937788232
F08001445,COSTA PERICH. FRANCESCA,CR,DEL MAR,14-A,PINEDA DE MAR,08397,325 PINEDA,937623187
F08001460,ALVAREZ RODRIGUEZ/QUINTANA TOMAS,CR,MAJOR,12,EL PRAT DE LLOBREGAT,08820,182 EL PRAT DE LLOBREGAT 1,933790601
F08001477,GUERRERO DUEÑAS. JOSE ANTONIO,CR,CENTRE,15,EL PRAT DE LLOBREGAT,08820,182 EL PRAT DE LLOBREGAT 1,933703802
F08001484,FABRO YAGUE. M.MERCE,CR,FERRAN PUIG,8,EL PRAT DE LLOBREGAT,08820,182 EL PRAT DE LLOBREGAT 1,933790122
F08001491,VIVER FABREGÓ. FRANCESC XAVIER.,CR,MAJOR,35,PRATS DE LLUÇANÈS,08513,185 LLUÇANÈS,938560287
F08001501,PUEYO SALVADOR. JORDI,CR,RIERA DE PREMIA,16,PREMIÀ DE MAR,08330,186 PREMIÀ DE MAR,937529042
F08001533,IGLESIAS MANERO. ESTEVE.,PL,DE LA CREU,7,PUIG-REIG,08692,128 BAIX BERGUEDÀ,938380042
F08001558,SELVA MARTI. JOSEP M.,CR,CALVARI,3,RIPOLLET,08291,386 RIPOLLET-1,936921809
F08001565,TORRENT CARDELUS/FELIU TORRENT,PL,MAJOR,7,RODA DE TER,08510,377 RODA DE TER,938540058
F08001572,SCHMID BOSCH. ELISENDA.,CR,RIERA,12-14,RUBÍ,08191,309 RUBÍ 1,936991305
F08001580,CARULLA BATALLE. MARC,PS,FRANCESC MACIA,23,RUBÍ,08191,310 RUBÍ 2,936990430
F08001597,COLOMINA BRUSAU. M.ROSA,CR,LUSITANIA ,2,SABADELL,08206,344 SABADELL 4-A,937162335
F08001607,BAGAN TAPIOLES. MONTSERRAT,CR,CARME,10,SABADELL,08202,190 SABADELL 1A,937250303
F08001614,ARGELAGUET ARGEMI. SANTIAGO,CR,SANT ANTONI MARIA CLARET,21,SABADELL,08202,190 SABADELL 1A,937450537
F08001621,VINYES SANT. JOAN,CR,Rambla ,235,SABADELL,08202,190 SABADELL 1A,937255710
F08001639,CRUSAFONT SABATE. ANNA M.,CR,COLOM,13,SABADELL,08201,190 SABADELL 1A,937250777
F08001646,TORRES COSTA.LOURDES/MATARRANZ TORRES.LAIA,CT,PRATS DE LLUÇANES,84-89,SABADELL,08208,192 SABADELL 2,937161383
F08001653,BLANCHART CAPDET. MIQUEL,VI,MASSAGUE,40,SABADELL,08202,190 SABADELL 1A,937252577
F08001660,GILI SEGURA. MARTA,PL,DE L'ANGEL,12,SABADELL,08202,190 SABADELL 1A,937251175
F08001678,GARRIGA MAJO. ANNA,PS,PLAÇA MAJOR,29,SABADELL,08201,190 SABADELL 1A,937255353
F08001685,PONS SAMARANCH. ISABEL,PL,MARQUILLES,4,SABADELL,08201,190 SABADELL 1A,937256745
F08001692,SEGALAS CARRERAS. M. MERCE,CR,RAMBLA,26,SABADELL,08201,190 SABADELL 1A,937257319
F08001702,ROSELL GRAS. MARIA,AV,BARBERA,48,SABADELL,08203,191 SABADELL 1B,937101343
F08001710,MORALES GUARCH. M.DOLORS,CR,RAMBLA,165,SABADELL,08202,190 SABADELL 1A,937250518
F08001727,LLOP TALAVERON. JORDI.J,PS,PLAÇA MAJOR,58,SABADELL,08202,190 SABADELL 1A,937258945
F08001734,GUERRERO BALLESTA. JOSEP M,CR,ANGEL GUIMERA,2,SALLENT,08650,200 SALLENT,938370046
F08001741,FRANCH MASFERRER.JOSEP,PL,DE LA PAU,3,SALLENT,08650,200 SALLENT,938370022
F08001759,ALBEROLA SOLANAS. YOLANDA,CR,ANGEL GUIMERA,2,SANTPEDOR,08251,211 NAVARCLES - SANT FRUITÓS DE BAGES,938320057
F08001766,CLAPES COLLANTES. AÏDA,CR,MIQUEL SERVET,7,SANT ADRIÀ DE BESÒS,08930,311 SANT ADRIÀ DEL BESÒS 1,933810132
F08001773,BOLOS CAUSADIAS. ESPERANÇA,AV,CATALUNYA,92-94,SANT ADRIÀ DE BESÒS,08930,311 SANT ADRIÀ DEL BESÒS 1,933811804
F08001780,GÜELL VERDAGUER. GEMMA,AV,ALFONS I,27,SANT ANTONI DE VILAMAJOR,08459,376 ALT MOGENT,938450057
F08001798,CALVO DELGADO. JOSE MARIA,CR,GENERAL O'DONNELL,59,SANT BOI DE LLOBREGAT,08830,202 SANT BOI DE LLOBREGAT 1,936400219
F08001808,PÉREZ GALINDO. LAURA,PL,AJUNTAMENT,9,SANT BOI DE LLOBREGAT,08830,202 SANT BOI DE LLOBREGAT 1,936301509
F08001815,VAQUER FONTANET. ANNA,CR,MAJOR,23,SANT BOI DE LLOBREGAT,08830,202 SANT BOI DE LLOBREGAT 1,936400006
F08001822,DRAPER ARENAS. M/DRAPER CASAS.MA. DEL MAR,CR,MAJOR,115,SANT CELONI,08470,207 SANT CELONI,938670374
F08001830,GONZALEZ GARCIA. M. EUGENIA,CR,MAJOR,125,SANT CELONI,08470,207 SANT CELONI,938670167
F08001847,ROS MORTE. ALBERT,CR,SANTA MARIA,27,SANT CUGAT DEL VALLÈS,08172,388 SANT CUGAT DEL VALLÈS-1,936741531
F08001854,RODRIGUEZ GARCIA. ESTELA.,CR,SANTIAGO RUSIÑOL,38,SANT CUGAT DEL VALLÈS,08172,388 SANT CUGAT DEL VALLÈS-1,935898014
F08001861,GONZALEZ PEREZ.E/GARCIA FERNANDEZ.S,PL,DOCTOR ROBERT,8,SANT FELIU DE CODINES,08182,89 CALDES DE MONTBUI,938660097
F08001879,PARES TEMPLER. SYLVIA,CR,JOAN BATLLORI,8,SANT FELIU DE LLOBREGAT,08980,209 SANT FELIU DE LLOBREGAT 1,936668867
F08001886,TAULE MARTI.JORDI/MARTI GARCIA.CRISTINA/MARTI GARCIA.MARTA,CR,CARRERETES,7-9,SANT FELIU DE LLOBREGAT,08980,209 SANT FELIU DE LLOBREGAT 1,936661095
F08001893,CALM NOGUES. JOSEP Ma./CALM NOGUES.ROSALIA,CR,SANTA CREU,16,SANT FELIU DE LLOBREGAT,08980,210 SANT FELIU DE LLOBREGAT 2,936662912
F08001903,SANCHEZ SOLER. BENJAMIN,AV,SANTA MARIA,2,VILASSAR DE DALT,08339,353 VILASSAR DE DALT,937530801
F08001910,MARTIN PALLARÉS. MIRIAM,CR,MESTRA VILADROSA,14,VILASSAR DE DALT,08339,353 VILASSAR DE DALT,937530803
F08001928,MIRABENT SALA. ANNA,CR,BATLLE SERRALLONGA,8-10,SANT HIPÒLIT DE VOLTREGÀ,08512,212 SANT HIPÒLIT DE VOLTREGÀ,938570080
F08001935,PAGES PUJOL. MONTSERRAT,CR,BALTASAR D'ESPANYA,18-20,SANT JOAN DESPÍ,08970,213 SANT JOAN DESPÍ 1,933730201
F08001942,BASTE BARBERAN. MARTA/COMAS BASTE. ORIOL,CR,SANT JOSEP,85,VILASSAR DE MAR,08340,271 VILASSAR DE MAR,937590941
F08001950,JOVER- SANTIÑA.D/JOVER-SANTIÑA.P,CR,MONTSERRAT,1,VILASSAR DE MAR,08340,271 VILASSAR DE MAR,937590939
F08001967,ARDERIU SOLSONA. MANUELA,CR,BONAVISTA,61,SANT JUST DESVERN,08960,216 SANT JUST DESVERN,933711288
F08001974,CAUSIN TORRES. AURORA,CR,MANZANILLO,16,SANT POL DE MAR,08395,93 CANET DE MAR,937600508
F08001981,PAGANS GOMEZ. JOAN J,AV,CATALUNYA,66,SANT LLORENÇ SAVALL,08212,97 CASTELLAR DEL VALLÈS,937140021
F08001999,HERNANDEZ MASSANA. RAFEL,CR,PONENT,16,SUBIRATS,08739,176 PENEDÈS RURAL,938993003
F08002015,MIRET MESTRE. MA.JOSEP/MA.TERESA,CR,MARCER,1,SANT PERE DE RIBES,08810,393 RIBES-OLIVELLA,938963579
F08002022,BONFILL PLANAS. CLARA,CR,MONTSERRAT,56-58,SANT PERE DE RIUDEBITLLES,08776,218 SANT SADURNÍ D'ANOIA,938995276
F08002030,CERRILLO ALBAIGES. NURIA,AV,MONTSERRAT,65,SANT QUINTÍ DE MEDIONA,08777,218 SANT SADURNÍ D'ANOIA,938998229
F08002047,BESORA MOLINS.AGATA / BESORA MOLINS.ERIC,CR,PONT,45,SANT QUIRZE DE BESORA,08580,217 SANT QUIRZE DE BESORA,938550044
F08002054,NARANJO SALOM. ELISABET,CR,DOCTOR ESCAYOLA,4,SANT SADURNÍ D'ANOIA,08770,218 SANT SADURNÍ D'ANOIA,938910188
F08002061,MESTRE CLIMENT. RAQUEL,CR,HOSPITAL,2,SANT SADURNÍ D'ANOIA,08770,218 SANT SADURNÍ D'ANOIA,938912611
F08002079,FIGULS GRAUVILARDELL. ESTRELLA,PL,AJUNTAMENT,7,SANT VICENÇ DE CASTELLET,08295,219 SANT VICENÇ DE CASTELLET,938331405
F08002086,GIMFERRER RIPOLL. M.ROSA,CR,GRAN,34,SANT VICENÇ DE CASTELLET,08295,219 SANT VICENÇ DE CASTELLET,938330255
