Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,Municipi,CP,ABS,Telèfon
F08009821,VEHI GASOL. ENRIQUE LUIS,CR,ANETO,26-28,BARCELONA,08031,59 BARCELONA 8-C,934291595
F08009839,JIMENEZ ANDREU. GERMAN,CR,FONERIA,18,BARCELONA,08038,34 BARCELONA 3-C,933322647
F08009846,MELCHOR PEIRATS. CARLES,CR,LLEVANT,47-49,L'HOSPITALET DE LLOBREGAT,08905,294 L'HOSPITALET DE LLOBREGAT 7-FLORIDA N.,933490864
F08009853,PRAT CALVET. JOSEP,PG,LLIVIA,47,BARCELONA,08041,326 BARCELONA 7-G,932355093
F08009860,PARES LUCINI. JOAN,AV,MASNOU,62,L'HOSPITALET DE LLOBREGAT,08905,295 L'HOSPITALET DE LLOBREGAT 8-FLORIDA S.,934405966
F08009878,TERUEL LORCA. ANNA MA.,CR,IGUALTAT,10,L'HOSPITALET DE LLOBREGAT,08902,293 L'HOSPITALET DE LLOBREGAT 6-S.EULÀLIA S.,933354890
F08009885,MONGUIO SOLIVA. TERESA,RB,SANT JOAN,180,BADALONA,08917,281 BADALONA 10,933873893
F08009892,BARBERA FAURA. ANNA,AV,PAU CASALS,38,SANT QUIRZE DEL VALLÈS,08192,363 SANT QUIRZE DEL VALLÈS,937210699
F08009902,PUIGDOLLERS VILA. CRISTINA,CR,POMPEU FABRA,26,L'AMETLLA DEL VALLÈS,08480,121 LA GARRIGA,938430146
F08009910,OLIUS PEYRATS. MARTA,CR,LLOBREGOS,140,BARCELONA,08032,54 BARCELONA 7-D,934294714
