Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,CP,ABS,Telèfon,Nom comarca,Nom,província,geocode_input,address,lat,lng
F08017780,Gabarro sole. ramon,Avinguda,Isabel la catolica,25,8906,297 l'hospitalet de llobregat 10 - c.serra,934386236,Barcelonès, L' Hospitalet De Llobregat,Barcelona,"Avinguda Isabel la catolica, 25, 08906,  L' Hospitalet De Llobregat, Barcelona, Spain","Avinguda d'Isabel la Catòlica, 25, 08906 L'Hospitalet de Llobregat, Barcelona, Spain",41.3661606,2.1036196
F08017798,Mila plans rosa m,,De la muntanya,74,8402,286 granollers 3 - centre est,938703596,Vallès Oriental,Granollers,Barcelona,,,,
F08017808,Jiménez santano. maría ángela.,Carrer,Pratginestós,21,8230,252 terrassa f,937870001,Vallès Occidental,Matadepera,Barcelona,"Carrer Pratginestós, 21, 08230, Matadepera, Barcelona, Spain","Carrer d'Antoni Genescà, 21, 08230 Matadepera, Barcelona, Spain",41.5997029,2.0259484
F08017815,García caballero. aránzazu,Carrer,Sant ramon,55,8100,348 mollet del vallès-est,935933093,Vallès Oriental,Mollet del Vallès,Barcelona,"Carrer Sant ramon, 55, 08100, Mollet del Vallès, Barcelona, Spain","Carrer de Sant Ramon, 55, 08100 Mollet del Vallès, Barcelona, Spain",41.5338461,2.2146551
F08017822,Sanchez bailon. ana maria,Carrer,Santa rosa,36-38,8290,105 cerdanyola del vallès 2,936923184,Vallès Occidental,Cerdanyola del Vallès,Barcelona,"Carrer Santa rosa, 36-38, 08290, Cerdanyola del Vallès, Barcelona, Spain","Carrer de Santa Rosa, 36, 38, 08290 Cerdanyola del Vallès, Barcelona, Spain",41.4859135,2.132634
F08017830,Macia goñi. montserrat,Carrer,Verge del pilar,5,8420,284 granollers 1 -oest,984935086,Vallès Oriental,Canovelles,Barcelona,"Carrer Verge del pilar, 5, 08420, Canovelles, Barcelona, Spain","Carrer Verge del Pilar, 5, 08420 Canovelles, Barcelona, Spain",41.6207841,2.2787478
F08017847,Secanell roca. josep m.,Carretera,De valls,34,8710,229 santa margarida de montbui,938034834,Anoia,Santa Margarida de Montbui,Barcelona,"Carretera De valls, 34, 08710, Santa Margarida de Montbui, Barcelona, Spain","Ctra. de Valls, 34, 08710 Santa Margarida de Montbui, Barcelona, Spain",41.5744173,1.6082516
F08017854,Paterna paterna. jesus,Carrer,Bernat metge,6-8,8019,74 barcelona 10-d,933146659,Barcelonès,Barcelona,Barcelona,"Carrer Bernat metge, 6-8, 08019, Barcelona, Barcelona, Spain","Carrer de Bernat Metge, 6, 8, 08019 Barcelona, Spain",41.41897670000000,2.2104493
F08017861,Fons jovani.v/fons jovani.g,Carrer,Trevol,2,8032,54 barcelona 7-d,933573119,Barcelonès,Barcelona,Barcelona,"Carrer Trevol, 2, 08032, Barcelona, Barcelona, Spain","Carrer del Trèvol, 2, 08032 Barcelona, Spain",41.4262032,2.1664762
F08017879,Delgado rica. ma pilar,Carrer,Enric casanovas,94,8016,,933504896,Barcelonès,Barcelona,Barcelona,"Carrer Enric casanovas, 94, 08016, Barcelona, Barcelona, Spain","Carrer d'Enric Casanovas, 94, 08016 Barcelona, Spain",41.4418831,2.1808959
F08017886,Engelberto muhr. pablo.,Carrer,Andrade,151,8020,331 barcelona 10-j,933149760,Barcelonès,Barcelona,Barcelona,"Carrer Andrade, 151, 08020, Barcelona, Barcelona, Spain","C. d'Andrade, 151, 08020 Barcelona, Spain",41.4161325,2.2011633
F08017893,Baladron acero. maria,Carrer,Cicero,12,8014,36 barcelona 3-e,934314570,Barcelonès,Barcelona,Barcelona,"Carrer Cicero, 12, 08014, Barcelona, Barcelona, Spain","Carrer de Ciceró, 12, 08014 Barcelona, Spain",41.3763261,2.1382943
F08017903,Fernandez moreno. miguel,Carrer,Pasteur,1,8024,51 barcelona 7-a,932296656,Barcelonès,Barcelona,Barcelona,"Carrer Pasteur, 1, 08024, Barcelona, Barcelona, Spain","Carrer de Pasteur, 1, 08024 Barcelona, Spain",41.4170623,2.1587425
F08017910,Benimeli ferrando. juan alexis ,Carrer,Bellavista,38 tda 1,8913,341 badalona 7a,933986563,Barcelonès,Badalona,Barcelona,"Carrer Bellavista, 38 tda 1, 08913, Badalona, Barcelona, Spain","Carrer de Bellavista, 38, 1, 08913 Santa Coloma de Gramenet, Barcelona, Spain",41.4420476,2.2163162
F08017928,Euras vilalta.elena/euras vilalta.nuria,Carrer,Tagamanent,1,8500,351 vic-2 sud,938857067,Osona,Vic,Barcelona,"Carrer Tagamanent, 1, 08500, Vic, Barcelona, Spain","Carrer de Tagamanent, 1, 08500 Vic, Barcelona, Spain",41.920097,2.2569616
