Codi,Nom ,Codi comarca,Nom comarca,Altitud(m),Superfície(km2),Població,densitat(habitants/km2),IST_idescat,Índex socioeconòmic territorial
431037,Perafort,36,Tarragonès,125,9.54,1264,132.49,0.0,93.6
431711,Vila-seca,36,Tarragonès,45,21.64,22555,1042.28,1.0,89.5
431482,Tarragona,36,Tarragonès,68,57.88,136496,2358.26,1.0,94.5
431114,"Pobla de Montornès, la",36,Tarragonès,56,12.29,2884,234.66,0.0,93.6
430957,"Morell, el",36,Tarragonès,104,5.94,3742,629.97,0.0,93.6
439057,Salou,36,Tarragonès,2,15.13,28526,1885.39,1.0,84.1
430120,Altafulla,36,Tarragonès,52,6.95,5307,763.6,1.0,109.3
430976,"Nou de Gaià, la",36,Tarragonès,93,4.32,600,138.89,0.0,93.6
430430,"Catllar, el",36,Tarragonès,59,26.43,4557,172.42,0.0,93.6
431009,"Pallaresos, els",36,Tarragonès,120,5.13,485,94.54,0.0,93.6
430477,Constantí,36,Tarragonès,81,30.87,6665,215.91,1.0,78.3
431310,Roda de Berà,36,Tarragonès,57,16.5,6785,411.21,1.0,90.0
431093,"Pobla de Mafumet, la",36,Tarragonès,98,6.21,3971,639.45,0.0,93.6
431444,"Secuita, la",36,Tarragonès,169,17.77,1708,96.12,0.0,93.6
431649,Vespella de Gaià,36,Tarragonès,191,18.04,417,23.12,0.0,93.6
431359,Salomó,36,Tarragonès,165,12.21,549,44.96,0.0,93.6
430640,Gandesa,37,Terra Alta,363,71.15,3096,43.51,0.0,90.3
430326,Bot,37,Terra Alta,286,34.94,554,15.86,0.0,90.3
431107,"Pobla de Massaluca, la",37,Terra Alta,357,43.4,317,7.3,0.0,90.3
430712,Horta de Sant Joan,37,Terra Alta,542,118.99,1146,9.63,0.0,90.3
430568,"Fatarella, la",37,Terra Alta,487,56.52,926,16.38,0.0,90.3
430419,Caseres,37,Terra Alta,324,42.9,237,5.52,0.0,90.3
430189,Arnes,37,Terra Alta,506,42.97,444,10.33,0.0,90.3
430483,Corbera d'Ebre,37,Terra Alta,337,53.09,1003,18.89,0.0,90.3
431172,Prat de Comte,37,Terra Alta,363,26.43,177,6.7,0.0,90.3
431068,"Pinell de Brai, el",37,Terra Alta,189,56.99,1008,17.69,0.0,90.3
430228,Batea,37,Terra Alta,376,128.41,1901,14.8,0.0,90.3
431750,Vilalba dels Arcs,37,Terra Alta,450,67.25,621,9.23,0.0,90.3
252173,Tàrrega,38,Urgell,373,88.36,17445,197.43,1.0,92.2
251765,Preixana,38,Urgell,328,21.52,387,17.98,0.0,91.0
252252,Tornabous,38,Urgell,289,24.17,822,34.01,0.0,91.0
252445,Vilagrassa,38,Urgell,355,19.87,560,28.18,0.0,91.0
251811,Puigverd d'Agramunt,38,Urgell,366,17.0,229,13.47,0.0,91.0
252385,Vallbona de les Monges,38,Urgell,481,34.14,243,7.12,0.0,91.0
250463,Belianes,38,Urgell,373,15.69,520,33.14,0.0,91.0
251305,Maldà,38,Urgell,428,31.36,227,7.24,0.0,91.0
250273,Anglesola,38,Urgell,335,23.53,1365,58.01,0.0,91.0
252424,Verdú,38,Urgell,434,35.79,902,25.2,0.0,91.0
250962,"Fuliola, la",38,Urgell,275,11.05,125,11.31,0.0,91.0
259025,Sant Martí de Riucorb,38,Urgell,409,34.9,639,18.31,0.0,91.0
251543,"Omells de na Gaia, els",38,Urgell,560,13.48,130,9.64,0.0,91.0
250707,Castellserà,38,Urgell,267,15.84,996,62.88,0.0,91.0
250740,Ciutadilla,38,Urgell,519,17.03,208,12.21,0.0,91.0
250030,Agramunt,38,Urgell,337,79.65,5411,67.93,1.0,93.2
251095,Guimerà,38,Urgell,555,25.76,271,10.52,0.0,91.0
250501,Bellpuig,38,Urgell,308,34.98,5218,149.17,1.0,81.5
251575,Ossó de Sió,38,Urgell,391,26.29,203,7.72,0.0,91.0
251459,Nalec,38,Urgell,487,9.25,90,9.73,0.0,91.0
250254,Naut Aran,39,Aran,1267,255.75,1836,7.18,0.0,107.4
250595,Bossòst,39,Aran,710,28.17,1115,39.58,0.0,107.4
250576,"Bòrdes, Es",39,Aran,852,21.44,255,11.89,0.0,107.4
250313,Arres,39,Aran,1224,11.57,60,5.19,0.0,107.4
251214,Les,39,Aran,634,23.45,971,41.41,0.0,107.4
250637,Canejan,39,Aran,906,48.32,89,1.84,0.0,107.4
252477,Vilamòs,39,Aran,1255,15.44,178,11.53,0.0,107.4
250450,Bausen,39,Aran,931,17.72,60,3.39,0.0,107.4
252430,Vielha e Mijaran,39,Aran,974,211.74,5611,26.5,1.0,106.1
82671,Sentmenat,40,Vallès Occidental,207,28.8,9235,320.66,1.0,106.0
82606,Santa Perpètua de Mogoda,40,Vallès Occidental,74,15.83,25999,1642.39,1.0,98.6
81803,Ripollet,40,Vallès Occidental,79,4.33,39179,9048.27,1.0,95.6
82665,Cerdanyola del Vallès,40,Vallès Occidental,82,30.56,57855,1893.16,1.0,109.5
81799,Rellinars,40,Vallès Occidental,322,17.79,809,45.47,0.0,103.0
80543,Castellbisbal,40,Vallès Occidental,132,31.03,12539,404.09,1.0,107.8
80517,Castellar del Vallès,40,Vallès Occidental,331,44.91,24488,545.27,1.0,109.2
82917,Vacarisses,40,Vallès Occidental,382,40.7,6832,167.86,1.0,110.0
82900,Ullastrell,40,Vallès Occidental,342,7.31,2089,285.77,0.0,103.0
83008,Viladecavalls,40,Vallès Occidental,274,20.09,7545,375.56,1.0,113.6
82520,Barberà del Vallès,40,Vallès Occidental,146,8.31,33334,4011.31,1.0,103.6
89045,Badia del Vallès,40,Vallès Occidental,120,0.93,13415,14424.73,1.0,84.1
82798,Terrassa,40,Vallès Occidental,277,70.16,223627,3187.39,1.0,98.1
82384,Sant Quirze del Vallès,40,Vallès Occidental,188,14.07,20195,1435.32,1.0,121.7
81672,Polinyà,40,Vallès Occidental,123,8.79,8504,967.46,1.0,102.2
81878,Sabadell,40,Vallès Occidental,190,37.79,21652,572.96,1.0,98.2
81568,Palau-solità i Plegamans,40,Vallès Occidental,130,14.93,14892,997.45,1.0,108.3
81206,Matadepera,40,Vallès Occidental,423,25.36,9496,374.45,1.0,131.6
81252,Montcada i Reixac,40,Vallès Occidental,36,23.47,36803,1568.09,1.0,96.7
81846,Rubí,40,Vallès Occidental,123,32.3,78591,2433.16,1.0,97.9
82055,Sant Cugat del Vallès,40,Vallès Occidental,124,48.23,92977,1927.78,1.0,124.3
80879,Gallifa,40,Vallès Occidental,502,16.33,167,10.23,0.0,103.0
82233,Sant Llorenç Savall,40,Vallès Occidental,466,41.11,2417,58.79,0.0,103.0
81154,Martorelles,41,Vallès Oriental,96,3.61,482,133.52,0.0,101.5
80425,Cànoves i Samalús,41,Vallès Oriental,346,29.19,3156,108.12,0.0,101.5
81982,Sant Antoni de Vilamajor,41,Vallès Oriental,258,13.7,6208,453.14,1.0,110.3
80977,Gualba,41,Vallès Oriental,177,23.29,1548,66.47,0.0,101.5
80399,Campins,41,Vallès Oriental,321,7.29,541,74.21,0.0,101.5
80057,"Ametlla del Vallès, l'",41,Vallès Oriental,281,14.24,8646,607.16,1.0,118.3
80462,Cardedeu,41,Vallès Oriental,193,12.1,18424,1522.64,1.0,111.2
80410,Canovelles,41,Vallès Oriental,175,6.66,16829,2526.88,1.0,77.6
81347,Figaró-Montmany,41,Vallès Oriental,330,14.99,1142,76.18,0.0,101.5
89024,Vilanova del Vallès,41,Vallès Oriental,91,15.2,5503,362.04,1.0,115.3
82969,Vallromanes,41,Vallès Oriental,153,10.65,2558,240.19,0.0,101.5
82943,Vallgorguina,41,Vallès Oriental,222,22.13,2988,135.02,0.0,101.5
80142,Aiguafreda,41,Vallès Oriental,404,7.9,2512,317.97,0.0,101.5
81810,"Roca del Vallès, la",41,Vallès Oriental,123,36.9,10754,291.44,1.0,111.2
80811,Fogars de Montclús,41,Vallès Oriental,386,39.72,475,11.96,0.0,101.5
80235,Bigues i Riells del Fai,41,Vallès Oriental,307,28.64,9358,326.75,1.0,106.3
81593,Parets del Vallès,41,Vallès Oriental,98,9.12,19071,2091.12,1.0,104.5
81379,Montseny,41,Vallès Oriental,528,26.77,351,13.11,0.0,101.5
